feature,importance_mean,importance_std,surrogate_r2
existing_elevated_structure_score,0.4084726245431581,0.028813012573610224,0.9758041341850211
entry_exit_feasibility_score,0.3261827104027941,0.01940670134761439,0.9758041341850211
hydraulic_sensitivity_index,0.3055216414973437,0.018716866358587526,0.9758041341850211
eht_line_crossing_score,0.28121004159412694,0.01890248480991924,0.9758041341850211
metro_interface_score,0.276746616518686,0.04184091012165911,0.9758041341850211
dam_check_structure_score,0.24292936859155057,0.016447073338523664,0.9758041341850211
builtup_growth_score,0.19565601811204428,0.010884165736369715,0.9758041341850211
habitation_proximity_score,0.09859767288064139,0.010491558842757386,0.9758041341850211
major_arterial_crossing_score,0.08355650219946713,0.007672334922153203,0.9758041341850211
curve_severity_score,0.06617140191181768,0.016650544695909666,0.9758041341850211
railway_crossing_score,0.0418918707458554,0.004669737478077126,0.9758041341850211
restricted_military_area_score,0.0,0.0,0.9758041341850211
land_availability_score,0.0,0.0,0.9758041341850211
